ID,Time,Item Name,Location,Coordinates,Parsed Time,time_diff
33007,02:00,Rarefied Amber Cloves,Amh Araeng,"(x19,y20)",1900-01-01 02:00:00,-16
33005,02:00,Rarefied Sandteak Log,Amh Araeng,"(x19,y20)",1900-01-01 02:00:00,-16
32997,02:00,Rarefied Larch Log,The Ruby Sea,"(x6,y16)",1900-01-01 02:00:00,-16
19852,02:00,Othardian Plum,The Azim Steppe,"(x23,y16)",1900-01-01 02:00:00,-16
32999,02:00,Rarefied Larch Sap,The Ruby Sea,"(x6,y16)",1900-01-01 02:00:00,-16
7591,02:00,Shroud Tea Leaves,Central Shroud,"(x16,y20)",1900-01-01 02:00:00,-16
12896,02:00,Old World Fig,The Dravanian Forelands,"(x26,y12)",1900-01-01 02:00:00,-16
13765,02:00,Old World Fig Seeds,The Dravanian Forelands,"(x26,y12)",1900-01-01 02:00:00,-16
7611,02:00,Fragrant Log,South Shroud,"(x18,y23)",1900-01-01 02:00:00,-16
32973,02:00,Rarefied Abalathian Spring Water,The Sea of Clouds,"(x21,y12)",1900-01-01 02:00:00,-16
8030,02:00,Antumbral Rock,Eastern Thanalan,"(x26,y19)",1900-01-01 02:00:00,-16
32974,02:00,Rarefied Aurum Regis Sand,The Sea of Clouds,"(x21,y12)",1900-01-01 02:00:00,-16
19968,02:00,Raw Triphane,The Fringes,"(x24,y8)",1900-01-01 02:00:00,-16
32984,02:00,Rarefied Reef Rock,The Tempest,"(x33,y21)",1900-01-01 02:00:00,-16
