ID,Time,Item Name,Location,Coordinates,Parsed Time,time_diff
33003,20:00,Rarefied White Oak Log,Kholusia,"(x28,y33)",1900-01-01 20:00:00,68
27822,20:00,Russet Popoto,Amh Araeng,"(x19,y16)",1900-01-01 20:00:00,68
19865,20:00,Lotus Root,Yanxia,"(x28,y7)",1900-01-01 20:00:00,68
12900,20:00,Chysahl Greens,Coerthas Western Highlands,"(x8,y9)",1900-01-01 20:00:00,68
32977,20:00,Rarefied Raw Kyanite,The Fringes,"(x30,y13)",1900-01-01 20:00:00,68
32975,20:00,Rarefied Raw Triphane,The Fringes,"(x30,y13)",1900-01-01 20:00:00,68
32983,20:00,Rarefied Sea Salt,The Tempest,"(x25,y4)",1900-01-01 20:00:00,68
32985,20:00,Rarefied Raw Onyx,The Tempest,"(x25,y4)",1900-01-01 20:00:00,68
19973,20:00,Raw Rhodonite,The Peaks,"(x26,y12)",1900-01-01 20:00:00,68
5546,21:00,Trillium Bulb,East Shroud,"(x13,y23)",1900-01-01 21:00:00,128
5158,21:00,Astral Rock,Coerthas Central Highlands,"(x23,y23)",1900-01-01 21:00:00,128
6209,21:00,Kidragora,East Shroud,"(x13,y23)",1900-01-01 21:00:00,128
13768,22:00,Coerthan Tea Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 22:00:00,188
13767,22:00,Pearl Sprout Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 22:00:00,188
