ID,Time,Item Name,Location,Coordinates
27833,12:00 AM/PM,Broad Beans,Il Mheg,"(x24,y36)"
27828,12:00 AM/PM,Mist Spinach,The Rak'tika Greatwood,"(x34,y21)"
33007,2:00 AM/PM,Rarefied Amber Cloves,Amh Araeng,"(x19,y20)"
33005,2:00 AM/PM,Rarefied Sandteak Log,Amh Araeng,"(x19,y20)"
33008,4:00 AM/PM,Rarefied Coral,The Tempest,"(x37,y12)"
33006,4:00 AM/PM,Rarefied Kelp,The Tempest,"(x37,y12)"
27835,6:00 AM/PM,Lemonette,Kholusia,"(x20,y27)"
33003,8:00 AM/PM,Rarefied White Oak Log,Kholusia,"(x28,y33)"
27822,8:00 AM/PM,Russet Popoto,Amh Araeng,"(x19,y16)"
27836,10:00 AM/PM,Peppermint,Lakeland,"(x26,y20)"
33002,10:00 AM/PM,Rarefied Pixie Apple,Il Mheg,"(x4,y23)"
33004,10:00 AM/PM,Rarefied Miracle Apple Log,Il Mheg,"(x4,y23)"
33009,12:00 AM/PM,Rarefied Urunday Log,The Peaks,"(x31,y7)"
33001,12:00 AM/PM,Rarefied Pine Log,Yanxia,"(x19,y14)"
33000,12:00 AM/PM,Rarefied Pine Resin,Yanxia,"(x19,y14)"
19852,2:00 AM/PM,Othardian Plum,The Azim Steppe,"(x23,y16)"
32997,2:00 AM/PM,Rarefied Larch Log,The Ruby Sea,"(x6,y16)"
32999,2:00 AM/PM,Rarefied Larch Sap,The Ruby Sea,"(x6,y16)"
19857,4:00 AM/PM,Jhammel Ginger,The Lochs,"(x8,y8)"
32998,4:00 AM/PM,Rarefied Shiitake Mushroom,The Ruby Sea,"(x33,y9)"
19918,6:00 AM/PM,Hallowed Basil,The Peaks,"(x23,y16)"
19865,8:00 AM/PM,Lotus Root,Yanxia,"(x28,y7)"
19860,10:00 AM/PM,Bamboo Shoot,Yanxia,"(x28,y25)"
32995,12:00 AM/PM,Rarefied Dark Chestnut,The Dravanian Forelands,"(x16,y36)"
32996,12:00 AM/PM,Rarefied Dark Chestnut Resin,The Dravanian Forelands,"(x16,y36)"
12943,12:00 AM/PM,Dravanian Mistletoe,The Churning Mists,"(x24,y6)"
12899,12:00 AM/PM,Porcini,The Churning Mists,"(x24,y6)"
13765,2:00 AM/PM,Old World Fig Seeds,The Dravanian Forelands,"(x26,y12)"
12896,2:00 AM/PM,Old World Fig,The Dravanian Forelands,"(x26,y12)"
12897,4:00 AM/PM,Cloud Banana,The Dravanian Hinterlands,"(x19,y36)"
12898,4:00 AM/PM,Morel,The Dravanian Hinterlands,"(x19,y36)"
12889,6:00 AM/PM,Heavens Lemon,The Sea of Clouds,"(x35,y23)"
12944,6:00 AM/PM,Abalathian Mistletoe,The Sea of Clouds,"(x35,y23)"
12900,8:00 AM/PM,Chysahl Greens,Coerthas Western Highlands,"(x8,y9)"
12884,10:00 AM/PM,Chives,Coerthas Western Highlands,"(x31,y20)"
13767,10:00 AM/PM,Pearl Sprout Seeds,Coerthas Western Highlands,"(x31,y20)"
13768,10:00 AM/PM,Coerthan Tea Seeds,Coerthas Western Highlands,"(x31,y20)"
12877,10:00 AM/PM,Pearl Sprouts,Coerthas Western Highlands,"(x31,y20)"
