ID,Time,Item Name,Location,Coordinates,Parsed Time,time_diff,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
5395,09:00,Spruce Log,Coerthas Central Highlands,"(x27,y12)",1900-01-01 09:00:00,-19,765,675,715,949,785.6206814106396,4398.463805204327
7592,09:00,Apricot,Middle La Noscea,"(x19,y16)",1900-01-01 09:00:00,-19,100,95,50,170,196.0891089108911,53.10753616302067
4816,09:00,Prickly Pineapple,Eastern La Noscea,"(x30.4,y28.4)",1900-01-01 09:00:00,-19,144,100,198,180,180,3.154900994985588
7734,09:00,Prickly Pineapple Seeds,Eastern La Noscea,"(x30.4,y28.4)",1900-01-01 09:00:00,-19,2356,1400,2355,2355,2384,1.3145411521762238
6199,09:00,Coblyn Larva,Eastern Thanalan,"(x28,y22)",1900-01-01 09:00:00,-19,60,60,50,50,320.3333333333333,2.366171965696263
5118,09:00,Gold Ore,Eastern Thanalan,"(x28,y22)",1900-01-01 09:00:00,-19,87,1,100,115,99.17922979326815,7045.403129049761
13768,10:00,Coerthan Tea Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41,100,25,101,4001,331.2926829268293,10.779213122550258
12877,10:00,Pearl Sprouts,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41,39999,300,200,150,241.72868217054264,33.91506251099299
12884,10:00,Chives,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41,50,40,50,91,188.06060606060606,8.675939560944109
13767,10:00,Pearl Sprout Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41,1,1,49,49,,
12882,10:00,Coerthan Tea Leaves,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41,474,400,1000,750,649.3234323432343,318.64315919592144
