ID,Time,Item Name,Location,Coordinates,Parsed Time,time_diff
5395,09:00,Spruce Log,Coerthas Central Highlands,"(x27,y12)",1900-01-01 09:00:00,-19
7592,09:00,Apricot,Middle La Noscea,"(x19,y16)",1900-01-01 09:00:00,-19
4816,09:00,Prickly Pineapple,Eastern La Noscea,"(x30.4,y28.4)",1900-01-01 09:00:00,-19
7734,09:00,Prickly Pineapple Seeds,Eastern La Noscea,"(x30.4,y28.4)",1900-01-01 09:00:00,-19
6199,09:00,Coblyn Larva,Eastern Thanalan,"(x28,y22)",1900-01-01 09:00:00,-19
5118,09:00,Gold Ore,Eastern Thanalan,"(x28,y22)",1900-01-01 09:00:00,-19
33002,10:00,Rarefied Pixie Apple,Il Mheg,"(x4,y23)",1900-01-01 10:00:00,41
33004,10:00,Rarefied Miracle Apple Log,Il Mheg,"(x4,y23)",1900-01-01 10:00:00,41
13768,10:00,Coerthan Tea Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41
12877,10:00,Pearl Sprouts,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41
12884,10:00,Chives,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41
13767,10:00,Pearl Sprout Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41
12882,10:00,Coerthan Tea Leaves,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,41
32994,10:00,Rarefied Dark Chestnut Branch,The Dravanian Forelands,"(x29,y30)",1900-01-01 10:00:00,41
