Walnut Log,South Shroud ( 23.1 / 21.6 )
Spruce Log,Coerthas Central Highlands ( 29.5 / 13.1 ),Timed at 10:00am
Cobalt Ore,Northern Thanalan ( 23.1 / 24.2 )
Iron Ore,Western Thanalan ( 27.2 / 17.4 )
Cedar Log,Coerthas Western Highlands ( 31.3 / 32.1 )
Mythril Ore,Southern Thanalan ( 25.2 / 39.9 )
Electrum Ore,Upper La Noscea ( 30.4 / 25.4 )
Aldgoat Horn,Eastern Thanalan ( 18.2 / 22.7 ),Dropped by Myotragus Billy
Copper Ore,Central Thanalan ( 19.0 / 26.2 )
Gold Ore,Eastern Thanalan ( 27.3 / 21.3 ),Timed at 10:00am
Raw Amber,Eastern Thanalan ( 12.7 / 19.1 )
Flax,South Shroud ( 17.6 / 28.6 )
Terebinth,Nowhere ( 0.0 / 0.0 ),Sold by Main City NPCs
Petrified Log,Nowhere ( 0.0 / 0.0 ),Sold for 1500 GC Seals
Scarlet Sap,North Shroud ( 17.7 / 27.7 ),Timed at 1:00am
Hardened Sap,Nowhere ( 0.0 / 0.0 ),Sold for 200 GC Seals
Silver Ore,South Shroud ( 16.1 / 19.7 )
Darksteel Ore,Coerthas Central Highlands ( 27.5 / 20.0 ),Timed at 1:00am
Bomb Ash,Southern Thanalan ( 22.2 / 29.9 )
Peacock Ore,Nowhere ( 0.0 / 0.0 ),Sold for 200 GC Seals
Silex,Southern Thanalan ( 22.4 / 29.7 )
Effervescent Water,South Shroud ( 16.0 / 19.7 )
Rock Salt,Central Thanalan ( 14.5 / 22.7 )
Red Moko Grass,Nowhere ( 0.0 / 0.0 ),Collected from Company Workshop Voyages
Potash,Nowhere ( 0.0 / 0.0 ),Sold for 200 GC Seals
Coke,Nowhere ( 0.0 / 0.0 ),Sold for 200 GC Seals
Vivianite,Nowhere ( 0.0 / 0.0 ),Collected from Company Workshop Voyages
Mythrite Sand,Coerthas Western Highlands ( 16.6 / 13.1 )
Mythrite Ore,Coerthas Western Highlands ( 31.2 / 12.8 )
Oak Log,South Shroud ( 16.6 / 30.2 )
Black Alumen,South Shroud ( 28.7 / 22.8 )
Uraeus Skin,Nowhere ( 0.0 / 0.0 ),Found in The Wanderer's Palace
Gelato Flesh,Coerthas Western Highlands ( 9.4 / 18.8 ), Dropped by Gelato
Pudding Flesh,Nowhere ( 0.0 / 0.0 ),Sold for 200 GC Seals
Ferberite,Northern Thanalan ( 17.3 / 19.9 ),Timed at 3:00am ET
Scheelite,Nowhere ( 0.0 / 0.0 ),Sold for 1500 GC Seals
Coerthan Tea Leaves,Coerthas Western Highlands ( 31.7 / 19.6 ),Timed at 10:00am/pm
Wyvern Skin,Coerthas Western Highlands (X:19.5 Y:35.9),Rare drop from wyverns
Iron Ore,Nowhere ( 0.0 / 0.0 ),Sold by Material Supplier
Boar Hide,East Shroud ( 14.5 / 22.7 ),Dropped by Wild Boar
Alumen,Eastern Thanalan ( 18.3 / 20.9 )
Tin Ore,Central Thanalan ( 19.9 / 22.2 )
Hippogryph Skin,Mor Dhona ( 26.8 / 8.3 ),Dropped by Hippogryph
Animal Fat,Nowhere ( 0.0 / 0.0 ),Sold for 200 GC Seals
Beehive Chip,North Shroud ( 26.3 / 27.6 )
Cotton Boll,Central Shroud ( 22.5 / 24.3 )
Mahogany Log,Eastern La Noscea ( 19.4 / 25.6 )
Rosewood Log,East Shroud ( 16.7 / 23.3 )
Saurian Skin,Nowhere ( 0.0 / 0.0 ),Sold for 1500 GC Seals
Shroud Tea Leaves,Central Shroud ( ??? )
Silkworm Cocoon,East Shroud ( 21.6 / 26.6 ),Timed at 1:00am ET
Yew Log,East Shroud ( 15.2 / 27.4 )
Holy Water,Nowhere ( 0.0 / 0.0 ),Sold by Idyllshire Scrap Salvager
Aqueous Whetstone,Nowhere ( 0.0 / 0.0 ),Sold for 200 GC Seals
Raw Celestine,Nowhere ( 0.0 / 0.0 ),Collected from Company Workshop Voyages
Aurum Regis Sand,The Sea of Clouds ( 34.8 / 30.5 )
Cassia Log,Nowhere ( 0.0 / 0.0 ),Collected from Company Workshop Voyages
Raziqsand,Nowhere ( 0.0 / 0.0 ),Sold for 1500 GC Seals
Native Gold,Central Thanalan ( 25.2 / 15.8 ),Timed at 4:00am ET
Hardsilver Sand,The Churning Mists ( 15.9 / 28.5 )
Raw Larimar,Coerthas Western Highlands ( 31.3 / 12.6 )
Basilisk Egg,Northern Thanalan ( 22.4 / 24.4 )
Platinum Ore,Southern Thanalan ( 16.7 / 10.7 ),Timed at 4:00am ET
Cloud Mica,The Churning Mists ( 27.6 / 19.2 )
Titanium Ore,The Dravanian Forelands ( 30.3 / 15.1 )
Grenade Ash,Nowhere ( 0.0 / 0.0 ),Purchased from Z'ranmaia (Limsa NPC)
Emery,Nowhere ( 0.0 / 0.0 ),Sold for 1500 GC Seals
Raw Topaz,Northern Thanalan ( 18.0 / 20.0 ),Timed at 3:00am ET
Dark Chestnut Log,The Dravanian Forelands ( 26.6 / 27.1 )
Adamantite Ore,Azys Lla ( 23.2 / 5.8 ),Timed at 12AM/PM ET
Birch Log,The Sea of Clouds ( 24 / 34 ),Hidden
Dawnborne Aethersand,Nowhere ( 0.0 / 0.0 ),Aetherial Reduction from Certain Items
Cassia Log,Nowhere ( 0.0 / 0.0 ),Collected from Company Workshop Voyages
Seventh Heaven,The Churning Mists ( 16.7 / 36.8 ),Timed at 4:00AM/PM ET
Astral Moraine,Coerthas Western Highlands ( 37.2 / 16.4 ),Timed at 12AM/PM ET (Legendary)
Bear Fat,The Dravanian Hinterlands ( 4.7 / 27.8 ),Dropped by Sun Bear
Kamacite Ore,Nowhere ( 0.0 / 0.0 ),Collected from Submarine Voyages
Sphalerite,Nowhere ( 0.0 / 0.0 ),Sold by NPCs for Scrips
Raw Rhodonite,The Peaks ( 26.9 / 12.5 ),Timed at 8AM/PM ET
Stiperstone,The Peaks ( 23.3 / 13.1 )
Cryptomeria Log,Nowhere ( 0.0 / 0.0 ),Collected from Submarine Voyages
Dhalmel Saliva,The Sea of Clouds ( 17.3 / 32.2 ),Dropped by Dhalmel
Dravanian Spring Water,The Dravanian Forelands ( 27.4 / 31.8 )
Hardsilver Ore,The Dravanian Forelands ( 25.3 / 25 )
Raziqsap,Nowhere ( 0.0 / 0.0 ),Sold for 250 GC Seals
Pure Titanium Ore,Nowhere ( 0.0 / 0.0 ),Collected from Submarine Voyages
Aurum Regis Ore,The Churning Mists ( 9.3 / 38.5 ),Timed at 2AM/PM ET
Raziqcoat,Nowhere ( 0.0 / 0.0 ),Sold by Scrip Exchange / Spoils Collector
Violet Quartz,Coerthas Western Highlands ( 37.3 / 18.7 ),Timed at 2AM/PM (Legendary)
Dragon Skin,Coerthas Western Highlands ( 13 / 24 ),Dropped by various dragons.
Gagana Skin,The Fringes ( 27.1 / 18 ),Dropped by Gagana
Gyr Abanian Alumen,The Fringes ( 16.9 / 11.3)
Eikon Mythrite,Nowhere ( 0.0 / 0.0 ),Sold by Spoils Collector
Lumythrite Ore,The Churning Mists ( 9.3 / 38.5 ),Timed at 2AM/PM ET (Legendary)
Glass Fiber,Nowhere ( 0.0 / 0.0 ),Sold for 7000 GC Seals (captain)
Carbon Fiber,Nowhere ( 0.0 / 0.0 ),Sold by Scrip Exchange
Wyvern Wing,The Churning Mists ( 24 / 28 ),Dropped by various wyverns.
Ahriman Wing,Northern Thanalan ( 24 / 21 ),Dropped by various Ahriman.
Beech Log,The Fringes ( 10.5 / 16.2 )
Smithsonite Ore,The Sea of Clouds ( 37.5 / 14.5 ),Timed at 8AM/PM (Legendary)
Eikon Metal,Idyllshire ( 5.7 / 5.2 ),Sold by Hismena
Koppranickel Sand,The Peaks ( 23.3 / 13.1 )
Molybdenum Ore,The Lochs ( 11.4 / 16.6 )
Raw Triphane,The Fringes ( 25.2 / 8.3 ),Timed at 2AM/PM
Abalathian Spring Water,The Sea of Clouds ( 34.8 / 30.5 )
Abalathian Mistletoe,The Sea of Clouds ( 35.8 / 21.4 ),Timed at 6AM/PM
Dhalmel Hide,The Sea of Clouds ( 17.3 / 32.2 ),Dropped by Dhalmel
Chemically Treated Chimera Hide,Nowhere ( 0.0 / 0.0 ),Gathered by Company Workshop Voyages
Amphiptere Skin,The Churning Mists ( 11.3 / 31.8 ),Dropped by Amphiptere
